WEEK,NEW_WALLETS,CUMULATIVE_NEW_WALLET,ACTIVE_WALLETS,CUMULATIVE_ACTIVE_WALLET
2022-05-23 00:00:00.000,34043,34043,96385,96385
2022-05-30 00:00:00.000,29529,63572,164802,261187
2022-06-06 00:00:00.000,11596,75168,135347,396534
2022-06-13 00:00:00.000,5049,80217,69608,466142
2022-06-20 00:00:00.000,3643,83860,47578,513720
2022-06-27 00:00:00.000,4372,88232,64618,578338
2022-07-04 00:00:00.000,2468,90700,52224,630562
2022-07-11 00:00:00.000,2172,92872,61909,692471
2022-07-18 00:00:00.000,1994,94866,63879,756350
2022-07-25 00:00:00.000,2020,96886,70331,826681
2022-08-01 00:00:00.000,2260,99146,87388,914069
2022-08-08 00:00:00.000,1914,101060,64223,978292
2022-08-15 00:00:00.000,1833,102893,51001,1029293
2022-08-22 00:00:00.000,2019,104912,51857,1081150
2022-08-29 00:00:00.000,4462,109374,87304,1168454
2022-09-05 00:00:00.000,14271,123645,176943,1345397
2022-09-12 00:00:00.000,4933,128578,130018,1475415
2022-09-19 00:00:00.000,2262,130840,90026,1565441
2022-09-26 00:00:00.000,2143,132983,112158,1677599
2022-10-03 00:00:00.000,2066,135049,83655,1761254
2022-10-10 00:00:00.000,1340,136389,103579,1864833
2022-10-17 00:00:00.000,1022,137411,54755,1919588
2022-10-24 00:00:00.000,1105,138516,50543,1970131
2022-10-31 00:00:00.000,1378,139894,106865,2076996
2022-11-07 00:00:00.000,1889,141783,120876,2197872
2022-11-14 00:00:00.000,1478,143261,100543,2298415
2022-11-21 00:00:00.000,1861,145122,115478,2413893
2022-11-28 00:00:00.000,1515,146637,75836,2489729
2022-12-05 00:00:00.000,1159,147796,60387,2550116
2022-12-12 00:00:00.000,1638,149434,64688,2614804
2022-12-19 00:00:00.000,1177,150611,55122,2669926
